# RENAME LEDGER — the rename history the public root cannot carry (127/VERIFICATION F-A).
#
# The repository was cut to a public root at e4c8824 (2026-09-13); every rename recorded before
# that commit is unreachable from HEAD, and the cited-path resolver (119/ADR-004) answers
# citations "through a rename this repository recorded". This file is that record, DERIVED ONCE
# with the resolver's own argv over the archived history and never hand-edited:
#
#   git --git-dir=.git-archive log --diff-filter=R -M --name-status --format=
#
# (1,128 records at b15bb731, 2026-09-16; 0 lines carry a private term.) The line shape is git's
# own `R<score>\t<from>\t<to>`, so `parseRenameRecords` reads it unchanged; lines that do not
# match are ignored. Git's live records are read FIRST (newest first), this ledger after them, so
# a name renamed again after the cut resolves through its most recent life. A rename recorded
# here that git also records is harmless: the first record for a `from` wins.
R093	src/board-worker-stream.mjs	src/cache-read.mjs
R096	src/commands/assets-add.mjs	src/commands/assets/add.mjs
R094	src/commands/assets-apply.mjs	src/commands/assets/apply.mjs
R096	src/commands/assets-clean.mjs	src/commands/assets/clean.mjs
R071	src/commands/assets-list.mjs	src/commands/assets/list.mjs
R097	src/commands/assets-refs.mjs	src/commands/assets/refs.mjs
R096	src/commands/assets-remove.mjs	src/commands/assets/remove.mjs
R077	src/commands/assets-show.mjs	src/commands/assets/show.mjs
R097	src/commands/assets-ui.mjs	src/commands/assets/ui.mjs
R095	src/commands/assets-validate.mjs	src/commands/assets/validate.mjs
R096	src/commands/graph-build.mjs	src/commands/graph/build.mjs
R089	src/commands/graph-impact.mjs	src/commands/graph/impact.mjs
R095	src/commands/graph-query.mjs	src/commands/graph/query.mjs
R082	src/commands/graph-serve.mjs	src/commands/graph/serve.mjs
R100	src/commands/graph-shared.mjs	src/commands/graph/shared.mjs
R094	src/commands/graph-triage.mjs	src/commands/graph/triage.mjs
R078	src/commands/mesh-assign.mjs	src/commands/mesh/assign.mjs
R099	src/commands/mesh-desktop.mjs	src/commands/mesh/desktop.mjs
R097	src/commands/mesh-face-shared.mjs	src/commands/mesh/face-shared.mjs
R100	src/commands/mesh-gate.mjs	src/commands/mesh/gate.mjs
R080	src/commands/mesh-heartbeat.mjs	src/commands/mesh/heartbeat.mjs
R095	src/commands/mesh-identity.mjs	src/commands/mesh/identity.mjs
R084	src/commands/mesh-invite.mjs	src/commands/mesh/invite.mjs
R096	src/commands/mesh-join.mjs	src/commands/mesh/join.mjs
